Species,number,temp,Substrate,max speed,av speed,max accel,av accel,accel standstill,HN,TA,SVL,TAIL,FFOOT,LFL,UFL,HFOOT,LHL,UHL,Mass
V.panoptes,290,35.3,fld,5.690867976,4.916193094,19.34689394,17.18257531,18.03758414,149,270,405,600,46.5,42,39,75,61,63,1000
V.panoptes,291,36.5,fld,7.560004445,6.344739859,24.44620178,14.00561509,22.67441132,178,299,447,518b,54,45,39,86.5,70.5,72,1950
V.panoptes,292,35.3,fld,7.887234114,6.645947115,24.70885959,15.21299434,24.70885959,149,285,440,645,46,44,38,71.5,67.5,63,1000
V.panoptes,293,38.4,fld,8.322258821,6.88989265,25.61243057,20.35987401,21.20880306,152,255,409,659,46,41.5,39,74,65,58,1050
V.panoptes,294,37.2,fld,6.204837194,5.391858807,20.70062998,15.49182129,20.70062998,201,432,610,845,60.5,60.5,53,90.5,94,85.5,4200
V.panoptes,295,35.5,fld,5.36910734,4.264937094,22.11266615,17.77725985,20.08791589,200,405,600,810,58.5,65,60.5,85.5,91.5,88.5,5105
V.panoptes,298,38.6,fld,5.84426515,5.169673272,23.17814081,16.17314385,21.97045828,192,425,600,760,62.5,59.5,52,94,86.5,81,2700
V.panoptes,299,37,fld,5.559185502,4.697711694,22.84172099,13.06448243,22.84172099,201,455,600,820,63,62,58,93.5,92.5,94,4100
V.pilbarensis,310,36.6,can,2.538949147,1.856144673,8.227924442,6.387367736,6.387367736,41.47,69.24,108.79,202,12.61,9.44,11.3,18.14,15.34,16.81,13.61
V.pilbarensis,311,36.1,can,2.429055016,2.163320007,13.07668193,10.10592786,10.10592786,39.8,64.62,103.16,192,10.76,10.46,12.2,18.18,15.73,18.02,14.45
V.pilbarensis,312,35.9,can,2.720691394,2.325109976,9.321993039,6.65939877,8.204893554,50.73,77.76,126.94,252,14.43,13.12,14.96,22.78,19.59,22.16,31.22
V.pilbarensis,313,37.6,can,2.903631293,2.28257067,14.82613797,10.38489745,11.14106932,45.67,72.64,115.75,220,16.15,11.84,15.33,21.29,17.95,22.12,22.67
V.pilbarensis,314,36.4,can,3.566356314,3.034660109,13.53014562,8.496461773,11.68021464,65.92,105.34,170.61,188b,19.72,17.94,20.02,29.75,22.34,28.1,69.78
V.rosenbergii,199,41.2,sand,2.915828623,2.835075814,11.47162015,11.35562711,,174,315,470,580,48.37,39.27,46.15,68.58,60.4,62.31,1460
V.rosenbergi,285,36.5,sand,7.63065519,5.503356426,29.37198516,17.03889733,,132.59,235,367.59,542,39.7,37.86,34.71,57.37,53.27,50.39,590
V.scalaris,83,37.1,sand,2.824264825,2.569016339,10.69597828,9.117075398,9.117075398,71,129,201,301,19,19,15,30,21,22,85.5
V.scalaris,84,33.5,field,3.271446205,2.60338761,14.06799148,9.680502893,11.42059198,67,128,193,305,21,18,16,31,20,20,75.5
V.scalaris,85,35.4,field,2.336549433,2.125867146,11.29868507,8.649744528,8.649744528,70,142,206,312,24,20,16,30,23,27,111.5
V.scalaris,99,,field,1.992296447,1.708523261,8.211332726,7.228720218,7.228720218,79,131,211,311,21,20,17,28,20,21,118.5
V.scalaris,100,,field,2.956424585,2.571903919,11.99451383,9.424314305,9.424314305,70,140,211,310,24,20,19,35,25,25,92
V.scalaris,102,35.7,sc,3.428009349,2.610923998,19.08152634,13.04193599,13.04193599,63,120,179,295,20,16,17,28,21,22,61.5
V.scalaris,103,,field,2.505445816,2.194833437,9.484251766,6.607189371,8.434942986,67,151,221,302,22,16,15,31,17,20,170.5
V.storri,137,34.8,sand,2.165541174,1.887948849,8.640999495,7.966703305,7.966703305,29.61,70.11,96.14,174,9.84,8.36,8.32,17.43,11.79,12.9,16.3
V.storri,182,38.3,sc,2.901830115,2.076318426,11.29790555,9.747890348,9.747890348,38.7,74.16,109.81,181,10.5,9.05,7.87,15.7,11.92,13.22,35.08
V.storri,183,36.8,sc,2.220584973,2.032804974,10.91918633,9.838139501,10.66821078,35.24,70.29,104.05,170,9.97,8.79,8.16,16.3,12.56,13.13,23.79
V.storri,184,36.9,sc,2.89077441,2.291841112,15.20624849,10.87395104,10.87395104,33.38,63.61,99.59,160,9.69,8.27,9.18,15.98,12.63,11.64,25.15
V.storri,186,39.2,sc,2.35281962,1.896742884,14.258565,9.805892553,9.805892553,42.2,75.58,117.3,196,13.36,10.73,10.75,18.29,15.06,15.87,32.82
V.storri,187,37.5,sc,2.509519338,2.509519338,13.29117876,13.29117876,13.29117876,38.81,64.81,100.59,177,11.39,9.41,9.92,16.95,14.46,15.49,34.99
V.storri,188,36.1,sc,2.730387104,2.184873737,12.84836141,10.54780764,12.32632167,33.71,64.25,97.49,176,9.95,8.19,7,15.28,13.25,11.35,17.8
V.storri,240,35,sc,2.611106274,2.172999168,8.873329846,7.160584767,8.494575149,42.54,73.68,113.54,159,12.53,9.98,10.74,18.97,15.35,13.65,29.61
V.tristis ,18,34.5,fld,5.229760943,4.509150862,9.504045017,8.983432903,,77.7,146.51,234,442,30.04,21.87,20.87,38.26,29.25,32.62,229.12
V.tristis ,86,35.9,sand,3.34743906,2.984545609,10.67708481,9.334096472,9.334096472,60,100,156,292,19,16,13,28,21,23,35
V.tristis ,212,35.9,sand,3.992125004,3.366081847,17.21346791,12.12035359,13.51680286,86.08,149,238,435,25.75,20.84,20.35,33.97,31.37,27.77,154
V.tristis ,224,31.2,sand,3.44335584,3.038248179,14.81516679,12.11990163,13.6935264,59.86,97.81,158.79,294,19.21,15.82,13.21,29.62,20.42,19.87,38.58
V.tristis ,225,37.3,sc,3.207310465,2.653301086,13.43835462,8.508411276,13.13020587,56.8,100.01,157.07,300,17.86,13.61,15.79,26.96,19.93,18.82,40.85
V.tristis ,226,38.8,sc,4.455375383,3.901231404,9.262787563,7.161310665,9.262787563,68.55,126.55,197.57,0,22.73,18.08,19.49,34.09,27.08,26.37,92.08
V.varius,286,35.5,sand,4.025065479,3.29907581,23.92377975,15.78579681,,210,425,635,990,88,75.5,51.5,115,96,87.5,6000
V.varius,307,34.5,sand,4.03692669,3.624739279,16.73984229,10.25902973,,255,420,675,1030,87.5,86,65,119,95,102,9400
